,Date,VUSTX,VUSTX Div,VPACX,VPACX Div,VTSMX,VTSMX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Capital
2931,2007-05-23,10.85,0.0,13.18,0.0,36.830002,0.0,27.280001000000002,0.0,40.470001,0.0,VUSTX,1880.50299989814,VEURX,542.2402409067139,42347.920640629774
2932,2007-05-24,10.86,0.0,13.04,0.0,36.439999,0.0,26.790001,0.0,40.099998,0.0,VUSTX,1880.50299989814,VEURX,542.2402409067139,42166.09515477254
2933,2007-05-25,10.85,0.0,13.04,0.0,36.650002,0.0,27.120001000000002,0.0,40.349998,0.0,VUSTX,1880.50299989814,VEURX,542.2402409067139,42282.850185000236
2934,2007-05-29,10.84,0.0,13.16,0.0,36.75,0.0,27.09,0.0,40.400002,0.0,VUSTX,1880.50299989814,VEURX,542.2402409067139,42291.159336007564
2935,2007-05-30,10.85,0.0,13.19,0.0,37.07,0.0,27.17,0.0,40.5,0.0,VUSTX,1880.50299989814,VEURX,542.2402409067139,42364.18730561673
2936,2007-05-31,10.84,0.046,13.28,0.0,37.110001000000004,0.0,27.389999,0.0,40.669998,0.0,VUSTX,1888.4829941781504,VEURX,542.2402409067139,42524.065170086724
2937,2007-06-01,10.78,0.0,13.38,0.0,37.259997999999996,0.0,27.91,0.0,40.990002000000004,0.0,VPACX,1521.513204577015,VEURX,542.2402409067139,42584.27523648715
2938,2007-06-04,10.82,0.0,13.42,0.0,37.349998,0.0,27.92,0.0,41.099998,0.0,VPACX,1521.513204577015,VEURX,542.2402409067139,42704.780022209
2939,2007-06-05,10.77,0.0,13.41,0.0,37.139998999999996,0.0,27.809998999999998,0.0,40.860001000000004,0.0,VPACX,1521.513204577015,VEURX,542.2402409067139,42559.42885906634
2940,2007-06-06,10.76,0.0,13.34,0.0,36.799999,0.0,27.48,0.0,40.16,0.0,VPACX,1521.513204577015,VEURX,542.2402409067139,42073.35422387101
2941,2007-06-07,10.62,0.0,13.24,0.0,36.139998999999996,0.0,27.139999,0.0,39.290001000000004,0.0,VPACX,1521.513204577015,VEURX,542.2402409067139,41449.45443606471
2942,2007-06-08,10.59,0.0,13.37,0.0,36.540001000000004,0.0,27.379998999999998,0.0,39.560001,0.0,VPACX,1521.513204577015,VUSTX,2025.592490321987,41793.65601770453
2943,2007-06-11,10.57,0.0,13.35,0.0,36.57,0.0,27.49,0.0,39.68,0.0,VPACX,1521.513204577015,VUSTX,2025.592490321987,41722.71390380655
2944,2007-06-12,10.44,0.0,13.14,0.0,36.18,0.0,27.24,0.0,39.169998,0.0,VPACX,1521.513204577015,VUSTX,2025.592490321987,41139.86910710352
2945,2007-06-13,10.52,0.0,13.25,0.0,36.709998999999996,0.0,27.629998999999998,0.0,39.709998999999996,0.0,VPACX,1521.513204577015,VUSTX,2025.592490321987,41469.28295883275
2946,2007-06-14,10.5,0.0,13.25,0.0,36.900002,0.0,28.08,0.0,40.099998,0.0,VPACX,1521.513204577015,VUSTX,2025.592490321987,41428.77110902631
2947,2007-06-15,10.54,0.0,13.35,0.0,37.16,0.0,28.51,0.0,40.73,0.0,VPACX,1521.513204577015,VEURX,524.1773839428859,41661.94612909689
2948,2007-06-18,10.56,0.0,13.36,0.0,37.119999,0.0,28.719998999999998,0.0,40.75,0.0,VPACX,1521.513204577015,VEURX,524.1773839428859,41687.64480882152
2949,2007-06-19,10.62,0.0,13.4,0.0,37.18,0.0,28.790001,0.0,40.75,0.0,VPACX,1521.513204577015,VEURX,524.1773839428859,41748.5053370046
2950,2007-06-20,10.58,0.0,13.27,0.0,36.689999,0.0,28.48,0.0,40.439999,0.0,VPACX,1521.513204577015,VEURX,524.1773839428859,41388.21310720991
2951,2007-06-21,10.53,0.0,13.44,0.0,36.91,0.0,28.92,0.0,40.450001,0.0,VPACX,1521.513204577015,VEURX,524.1773839428859,41652.1131741822
