,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Capital
4550,2013-10-25,11.68,0.0,44.59,0.0,11.77,0.0,26.68,0.0,30.799999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,64573.39270403945
4551,2013-10-28,11.64,0.0,44.619999,0.0,11.8,0.0,26.790001,0.0,30.66,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,64416.58871133771
4552,2013-10-29,11.66,0.0,44.84,0.0,11.81,0.0,26.9,0.0,30.73,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,64609.22514089753
4553,2013-10-30,11.6,0.0,44.580002,0.0,11.82,0.0,26.9,0.0,30.58,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1803.1020354559,64268.30021563334
4554,2013-10-31,11.61,0.032,44.419998,0.0,11.76,0.0,26.780001000000002,0.0,30.42,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64152.80869727319
4555,2013-11-01,11.49,0.0,44.52,0.0,11.71,0.0,26.620001000000002,0.0,30.24,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63856.82710843354
4556,2013-11-04,11.5,0.0,44.720001,0.0,11.71,0.0,26.67,0.0,30.42,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64099.75268323206
4557,2013-11-05,11.37,0.0,44.59,0.0,11.63,0.0,26.32,0.0,30.190001000000002,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63638.435163686125
4558,2013-11-06,11.38,0.0,44.720001,0.0,11.74,0.0,26.35,0.0,30.450001,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63904.05545396374
4559,2013-11-07,11.46,0.0,44.099998,0.0,11.55,0.0,25.99,0.0,30.040001,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63456.617551954245
4560,2013-11-08,11.21,0.0,44.700001,0.0,11.62,0.0,25.940001000000002,0.0,30.120001000000002,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63352.98372625469
4561,2013-11-11,11.22,0.0,44.75,0.0,11.58,0.0,25.73,0.0,30.24,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63480.45104399068
4562,2013-11-12,11.21,0.0,44.66,0.0,11.62,0.0,25.6,0.0,30.08,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63305.17756626966
4563,2013-11-13,11.25,0.0,45.060001,0.0,11.66,0.0,25.49,0.0,30.139999,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63614.48214928589
4564,2013-11-14,11.32,0.0,45.259997999999996,0.0,11.73,0.0,25.809998999999998,0.0,30.25,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63916.2592097188
4565,2013-11-15,11.33,0.0,45.459998999999996,0.0,11.89,0.0,26.09,0.0,30.43,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64159.18478451732
4566,2013-11-18,11.39,0.0,45.23,0.0,11.88,0.0,26.540001,0.0,30.48,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64191.31738631925
4567,2013-11-19,11.31,0.0,45.110001000000004,0.0,11.87,0.0,26.42,0.0,30.43,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63952.888820305874
4568,2013-11-20,11.14,0.0,44.959998999999996,0.0,11.8,0.0,26.26,0.0,30.129998999999998,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63359.8929064914
4569,2013-11-21,11.15,0.0,45.380001,0.0,11.8,0.0,26.08,0.0,30.35,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,63738.122898366164
4570,2013-11-22,11.24,0.0,45.599998,0.0,11.81,0.0,26.190001000000002,0.0,30.559998999999998,0.0,VTSMX,486.1014282846016,VEURX,709.0226932378846,VUSTX,1808.0718257345038,64156.68427515785
