,Date,VUSTX,VUSTX Div,VTSMX,VTSMX Div,VEIEX,VEIEX Div,VPACX,VPACX Div,VEURX,VEURX Div,Enter 1,Shares 1,Enter 2,Shares 2,Enter 3,Shares 3,Enter 4,Shares 4,Capital
4116,2012-02-03,12.94,0.0,33.82,0.0,27.809998999999998,0.0,9.83,0.0,24.360001,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59215.71534430552
4117,2012-02-06,13.04,0.0,33.799999,0.0,27.59,0.0,9.81,0.0,24.24,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59673.332928110045
4118,2012-02-07,12.91,0.0,33.860001000000004,0.0,27.620001000000002,0.0,9.86,0.0,24.42,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59078.43006916417
4119,2012-02-08,12.91,0.0,33.93,0.0,27.91,0.0,9.9,0.0,24.450001,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59078.43006916417
4120,2012-02-09,12.83,0.0,33.98,0.0,27.969998999999998,0.0,9.9,0.0,24.51,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,58712.33600212055
4121,2012-02-10,12.97,0.0,33.720001,0.0,27.389999,0.0,9.74,0.0,24.07,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59353.00061944689
4122,2012-02-13,12.98,0.0,33.98,0.0,27.75,0.0,9.86,0.0,24.32,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59398.76237782734
4123,2012-02-14,13.05,0.0,33.939999,0.0,27.59,0.0,9.82,0.0,24.120001000000002,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59719.094686490505
4124,2012-02-15,13.03,0.0,33.77,0.0,27.67,0.0,9.91,0.0,24.07,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59627.57116972959
4125,2012-02-16,12.93,0.0,34.189999,0.0,27.9,0.0,9.99,0.0,24.4,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59169.953585925075
4126,2012-02-17,12.92,0.0,34.240002000000004,0.0,28.02,0.0,9.98,0.0,24.540001,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59124.19182754462
4127,2012-02-21,12.81,0.0,34.23,0.0,27.93,0.0,10.01,0.0,24.65,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,58620.812485359646
4128,2012-02-22,12.93,0.0,34.099998,0.0,27.950001,0.0,10.02,0.0,24.5,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59169.953585925075
4129,2012-02-23,12.95,0.0,34.299999,0.0,27.91,0.0,10.08,0.0,24.73,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59261.477102685974
4130,2012-02-24,13.0,0.0,34.34,0.0,28.09,0.0,10.11,0.0,24.940001000000002,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59490.28589458824
4131,2012-02-27,13.11,0.0,34.380001,0.0,27.85,0.0,10.06,0.0,24.73,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59993.66523677322
4132,2012-02-28,13.08,0.0,34.470001,0.0,28.18,0.0,10.18,0.0,24.93,0.0,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,VUSTX,1144.0439595113123,59856.37996163186
4133,2012-02-29,13.01,0.028999999999999998,34.279999,0.0,28.280001000000002,0.0,10.09,0.0,24.65,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,59668.756752272006
4134,2012-03-01,12.89,0.0,34.5,0.0,28.440001000000002,0.0,10.13,0.0,24.940001000000002,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,59118.39158622492
4135,2012-03-02,12.98,0.0,34.349998,0.0,28.389999,0.0,10.05,0.0,24.700001,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,59531.16546076024
4136,2012-03-05,12.91,0.0,34.220001,0.0,28.030001000000002,0.0,9.99,0.0,24.620001000000002,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,59210.11911389943
4137,2012-03-06,13.03,0.0,33.66,0.0,27.200001,0.0,9.79,0.0,23.73,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,59760.48427994652
4138,2012-03-07,12.97,0.0,33.93,0.0,27.41,0.0,9.86,0.0,23.99,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,59485.30169692299
4139,2012-03-08,12.86,0.0,34.279999,0.0,27.889999,0.0,10.03,0.0,24.629998999999998,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,58980.800294713146
4140,2012-03-09,12.86,0.0,34.439999,0.0,27.950001,0.0,10.04,0.0,24.41,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,58980.800294713146
4141,2012-03-12,12.87,0.0,34.419998,0.0,27.709999,0.0,9.96,0.0,24.459999,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,59026.6640585504
4142,2012-03-13,12.67,0.0,35.07,0.0,28.27,0.0,10.07,0.0,24.82,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,58109.38878180525
4143,2012-03-14,12.38,0.0,34.98,0.0,28.07,0.0,9.99,0.0,24.700001,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,56779.33963052479
4144,2012-03-15,12.39,0.0,35.209998999999996,0.0,28.09,0.0,10.07,0.0,24.92,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,56825.20339436205
4145,2012-03-16,12.4,0.0,35.240002000000004,0.0,28.040001,0.0,10.12,0.0,25.16,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,56871.0671581993
4146,2012-03-19,12.27,0.0,35.389998999999996,0.0,27.99,0.0,10.14,0.0,25.27,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,56274.838228314955
4147,2012-03-20,12.3,0.0,35.25,0.0,27.629998999999998,0.0,10.03,0.0,25.0,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,56412.42951982673
4148,2012-03-21,12.43,0.0,35.200001,0.0,27.57,0.0,9.96,0.0,24.889999,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,57008.658449711074
4149,2012-03-22,12.46,0.0,34.93,0.0,27.309998999999998,0.0,9.97,0.0,24.59,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,57146.249741222855
4150,2012-03-23,12.56,0.0,34.93,0.14,27.469998999999998,0.0,10.0,0.0,24.77,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,57604.88737959543
4151,2012-03-26,12.52,0.0,35.419998,0.0,27.700001,0.0,10.08,0.0,25.209999,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,57421.43232424639
4152,2012-03-27,12.59,0.0,35.310001,0.0,27.709999,0.0,10.11,0.0,24.92,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,57742.478671107194
4153,2012-03-28,12.58,0.0,35.130001,0.0,27.41,0.0,10.13,0.0,24.709999,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,57696.61490726994
4154,2012-03-29,12.66,0.0,35.080002,0.0,27.23,0.0,10.11,0.0,24.469998999999998,0.0,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,VUSTX,1146.5940959314376,58063.525017968
4155,2012-03-30,12.33,0.19,35.189999,0.0,27.469998999999998,0.0,10.12,0.0,24.690001000000002,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VEURX,581.4239570529622,VPACX,1418.5136443736758,57421.43232424639
4156,2012-04-02,12.38,0.0,35.459998999999996,0.0,27.690001000000002,0.0,10.15,0.0,25.049999,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VEURX,581.4239570529622,VPACX,1418.5136443736758,57898.41194473219
4157,2012-04-03,12.19,0.0,35.34,0.0,27.75,0.0,10.04,0.0,24.57,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VEURX,581.4239570529622,VPACX,1418.5136443736758,57445.6947699758
4158,2012-04-04,12.32,0.0,34.950001,0.0,27.200001,0.0,9.85,0.0,23.940001000000002,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VEURX,581.4239570529622,VPACX,1418.5136443736758,56363.3648299606
4159,2012-04-05,12.41,0.0,34.93,0.0,27.299999,0.0,9.87,0.0,23.780001000000002,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VUSTX,1114.1226656038195,VPACX,1418.5136443736758,56342.80535817708
4160,2012-04-09,12.67,0.0,34.509997999999996,0.0,27.0,0.0,9.79,0.0,23.790001,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VUSTX,1114.1226656038195,VPACX,1418.5136443736758,56190.8867252292
4161,2012-04-10,12.79,0.0,33.880001,0.0,26.559998999999998,0.0,9.7,0.0,23.15,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VUSTX,1114.1226656038195,VPACX,1418.5136443736758,55709.97803790738
4162,2012-04-11,12.67,0.0,34.169998,0.0,26.76,0.0,9.78,0.0,23.450001,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VUSTX,1114.1226656038195,VPACX,1418.5136443736758,55912.582521552744
4163,2012-04-12,12.62,0.0,34.66,0.0,27.18,0.0,9.91,0.0,23.92,0.0,VTSMX,407.93857598750134,VEIEX,522.5831308207037,VUSTX,1114.1226656038195,VPACX,1418.5136443736758,56460.65879509685
