,Date,VUSTX,VUSTX Div,VEIEX,VEIEX Div,VEURX,VEURX Div,VTSMX,VTSMX Div,VPACX,VPACX Div,Enter 1,Shares 1,Capital
1187,2000-06-13,10.15,0.0,11.27,0.0,28.74,0.0,32.990002000000004,0.0,11.19,0.0,VPACX,1536.6989928370854,17195.661729846983
1188,2000-06-14,10.19,0.0,11.35,0.0,29.0,0.0,32.950001,0.0,11.08,0.0,VPACX,1536.6989928370854,17026.624840634908
1189,2000-06-15,10.17,0.0,11.16,0.0,28.65,0.0,33.110001000000004,0.0,10.88,0.0,VPACX,1536.6989928370854,16719.28504206749
1190,2000-06-16,10.24,0.0,11.07,0.0,28.75,0.0,32.869999,0.0,10.94,0.0,VPACX,1536.6989928370854,16811.486981637714
1191,2000-06-19,10.21,0.0,11.09,0.0,28.67,0.0,33.41,0.0,11.12,0.0,VPACX,1536.6989928370854,17088.09280034839
1192,2000-06-20,10.2,0.0,11.21,0.0,28.799999,0.0,33.310001,0.0,11.29,0.0,VPACX,1536.6989928370854,17349.33162913069
1193,2000-06-21,10.13,0.0,11.24,0.0,28.290001,0.0,33.419998,0.0,11.45,0.0,VPACX,1536.6989928370854,17595.203467984626
1194,2000-06-22,10.12,0.0,11.16,0.0,27.99,0.0,32.799999,0.0,11.49,0.0,VPACX,1536.6989928370854,17656.67142769811
1195,2000-06-23,10.06,0.0,11.04,0.0,27.860001,0.0,32.419998,0.08,11.38,0.0,VPACX,1536.6989928370854,17487.634538486032
1196,2000-06-26,10.12,0.0,11.08,0.0,27.870001000000002,0.0,32.720001,0.0,11.21,0.0,VPACX,1536.6989928370854,17226.395709703727
1197,2000-06-27,10.15,0.0,11.19,0.0,27.860001,0.0,32.549999,0.0,11.39,0.0,VPACX,1536.6989928370854,17503.001528414403
1198,2000-06-28,10.12,0.0,11.25,0.0,28.02,0.0,32.779999,0.0,11.47,0.0,VPACX,1536.6989928370854,17625.93744784137
1199,2000-06-29,10.21,0.0,11.23,0.0,27.549999,0.0,32.540001000000004,0.0,11.59,0.0,VPACX,1536.6989928370854,17810.34132698182
1200,2000-06-30,10.2,0.05,11.34,0.0,28.030001000000002,0.0,32.779999,0.0,11.51,0.0,VTSMX,539.5791930181223,17687.405407554852
1201,2000-07-03,10.24,0.0,11.6,0.0,28.26,0.0,33.110001000000004,0.0,11.57,0.0,VTSMX,539.5791930181223,17865.467620409225
1202,2000-07-05,10.24,0.0,11.61,0.0,28.209999,0.0,32.59,0.0,11.48,0.0,VTSMX,539.5791930181223,17584.885900460606
1203,2000-07-06,10.19,0.0,11.56,0.0,28.280001000000002,0.0,32.880001,0.0,11.34,0.0,VTSMX,539.5791930181223,17741.364406015055
1204,2000-07-07,10.23,0.0,11.6,0.0,28.559998999999998,0.0,33.369999,0.0,11.38,0.0,VTSMX,539.5791930181223,18005.75713143555
1205,2000-07-10,10.22,0.0,11.66,0.0,28.58,0.0,33.32,0.0,11.57,0.0,VTSMX,539.5791930181223,17978.778711363833
1206,2000-07-11,10.22,0.0,11.49,0.0,28.5,0.0,33.380001,0.0,11.54,0.0,VTSMX,539.5791930181223,18011.154002524116
1207,2000-07-12,10.21,0.0,11.58,0.0,28.530001000000002,0.0,33.779999,0.0,11.41,0.0,VTSMX,539.5791930181223,18226.984600572974
1208,2000-07-13,10.29,0.0,11.55,0.0,28.41,0.0,33.93,0.0,11.23,0.0,VTSMX,539.5791930181223,18307.922019104888
1209,2000-07-14,10.21,0.0,11.57,0.0,28.540001,0.0,34.25,0.0,11.25,0.0,VTSMX,539.5791930181223,18480.58736087069
1210,2000-07-17,10.15,0.0,11.6,0.0,28.639999,0.0,34.290001000000004,0.0,11.21,0.0,VTSMX,539.5791930181223,18502.171068170606
1211,2000-07-18,10.16,0.0,11.51,0.0,28.299999,0.0,33.849998,0.0,11.01,0.0,VTSMX,539.5791930181223,18264.75460450505
1212,2000-07-19,10.15,0.0,11.27,0.0,28.08,0.0,33.48,0.0,11.0,0.0,VTSMX,539.5791930181223,18065.111382246734
1213,2000-07-20,10.29,0.0,11.27,0.0,28.280001000000002,0.0,33.919998,0.0,11.0,0.0,VTSMX,539.5791930181223,18302.52514801632
1214,2000-07-21,10.32,0.0,11.33,0.0,28.07,0.0,33.48,0.0,10.86,0.0,VTSMX,539.5791930181223,18065.111382246734
1215,2000-07-24,10.29,0.0,11.14,0.0,28.129998999999998,0.0,33.029999,0.0,10.76,0.0,VTSMX,539.5791930181223,17822.300205809384
1216,2000-07-25,10.3,0.0,11.11,0.0,28.280001000000002,0.0,33.200001,0.0,10.7,0.0,VTSMX,539.5791930181223,17914.029747780853
1217,2000-07-26,10.29,0.0,11.11,0.0,28.290001,0.0,32.790001000000004,0.0,10.71,0.0,VTSMX,539.5791930181223,17692.802278643423
